"","guide_title","guide_no","page_no","country","state","category","authors","date_created","year_publisehd","language","Category","Countries"
"235","Understory conspicuous plants",17,2,"Colombia, Ecuador, Peru, Brazil, Bolivia","","Plants, Climbers, Epiphytes, Shrubs and treelets, Terrestrial herbs","Robin B. Foster, Margaret R. Metz, Tyana Wachter","",1999,"English","Plants","Brazil"
"236","Tropical America -- Common Genera of Pioneer Trees",16,2,"Mexico, Belize, Guatemala, El Salvador, Honduras, Nicaragua, Costa Rica, Panama, Colombia, Venezuela, Guyana, Suriname, French Guiana, Brazil, Bolivia, Peru, Ecuador","","Plants, Shrubs and treelets, Trees","Diana Alvira, Robin B. Foster, Margaret R. Metz","",1999,"English","Plants","Brazil"
"237","Amapá -  Birds of Maracá-Jipioca Ecological Station",1055,10,"Brazil","Amapá","Animals, Birds","Pedro Ferreira França, Juliana Gonçalves Corrêa, Carlos Eduardo Costa Campos","October, 2018",2018,"English","Birds","Brazil"
"238","Goiás - Birds of Caldazinha (Santa Clara Ranch)",916,12,"Brazil","Goiás","Animals, Birds","Tiago Guimarães Junqueira , Kelrene Moreira Lara","November, 2017",2017,"English","Birds","Brazil"
"239","Minas Gerais - Birds of Juiz de Fora Botanical Garden",755,8,"Brazil","","Animals, Birds","Bruno Corrêa Barbosa, Tatiane Tagliatti Maciel, Mariana Paschoalini, Marco Antônio Manhães,  Fábio Prezoto","July, 2016",2016,"English","Birds","Brazil"
"240","Pará -- Birds of the Gunma Ecological Park",715,5,"Brazil","","Animals, Birds","Lucas Araújo-Silva, Pablo V. Cerqueira, Rodrigo S. Matos, Adriano Maciel, Leonardo S. Miranda","February, 2016",2016,"English","Birds","Brazil"
"241","Minas Gerais -- Birds of Iracambi",538,10,"Brazil","","Animals, Birds","Daniel Esser, Julia Migné, Muffi Forbes, Ricardo Mendes, Cassie Wells","January, 2014",2014,"English","Birds","Brazil"
"242","Pará -- Birds of  Serra do Cachimbo Biological Station",491,4,"Brazil","","Animals, Birds","Lucas Eduardo Araújo-Silva,  Ana Kelly Koch","September, 2013",2013,"English","Birds","Brazil"
"243","Amazonas --  Palmarí Reserve Birds",464,15,"Brazil","","Animals, Birds","Diana M. Pinto O. ,  Camilo Rodríguez L.,  Axel Henry Antoine-Feill S,  Álvaro E. Rodríguez T","January, 2013",2013,"English","Birds","Brazil"
"244","Pará -- Birds",309,6,"Brazil","","Animals, Birds","Sidnei de Melo Dantas","",2011,"English","Birds","Brazil"
"245","Brazil - Bats of Serra Negra da Mantiqueira",1039,1,"Brazil","Minas Gerais, Rio de Janeiro, Sao Paulo ","Animals, Mammals","Pedro Henrique Nobre","July, 2018",2018,"English","Mammals","Brazil"
"246","Minas Gerais - Social Wasps",726,2,"Brazil","","Animals, Insects","Bruno Corrêa Barbosa, Tatiane Tagliatti Maciel, Mariana Paschoalini, Fábio Prezoto","March, 2016",2016,"English","Insects","Brazil"
"247","Minas Gerais -- Iracambi Butterflies",416,20,"Brazil","","Animals, Insects","Gareth Ventress","",2008,"English","Insects","Brazil"
"248","Pará -- Fishes of Bacajá River, Trincheira Bacajá Indigenous Territory ",633,6,"Brazil","","Animals, Fishes","Jaime R. Carvalho Júnior, Jamylle R. Seabra da Silva Carvalho, Jayme R. Seabra Carvalho, Jose Leocyvan G. Nunes, Moisés Mourão Jr, Flavio Bezerra Barros, Rossineide Martins da Rocha, Luiza Nakayama","May, 2015",2015,"English","Fishes","Brazil"
"249","São Paulo -- Stream Fish of Juréia-Itatins Reserve",510,2,"Brazil","São Paulo","Animals, Fishes","Cristina Gonçalves","May, 2014",2014,"English","Fishes","Brazil"
