"","guide_title","guide_no","page_no","country","state","category","authors","date_created","year_publisehd","language","Category","Countries"
"487","Cundinamarca -- Birds of Chicaque Natural Park",683,1,"Colombia","","Animals, Birds","Paola Muñoz-L., Paula Pérez-H., Tatiana González-M., Jenny Rodríguez-A.","June, 2015",2015,"English","Birds","Colombia"
"488","Guaviare -- Birds",665,21,"Colombia","","Animals, Birds","Wilmer Andrés Ramírez Riaño, Ramón Carrillo López, Johan Daniel Melo Duarte","March, 2015",2015,"English","Birds","Colombia"
"489","Cundinamarca -- Palo Blanco Birds",653,14,"Colombia","","Animals, Birds","Luis Fernando Castro Vargas, Darwin Ortega Chamorro, Sergio Chaparrro-Herrera","January, 2015",2015,"English","Birds","Colombia"
"490","Putumayo -- Birds of Puerto Asis",648,4,"Colombia","","Animals, Birds","Alejandro Pérez, César Villamil, Alejandro Montañez","December, 2014",2014,"English","Birds","Colombia"
"491","Boyacá -- Birds of Buenavista",642,10,"Colombia","Boyacá","Animals, Birds","Alejandro Pérez,  Cesar Villamil,  Alejandro Montañez","December, 2014",2014,"English","Birds","Colombia"
"492","Cundinamarca -- Birds of Humedal Jaboque",638,4,"Colombia","","Animals, Birds","Alejandro Pérez,  César Villamil,  Alejandro Montañez","July, 2014",2014,"English","Birds","Colombia"
"493","Cundinamarca -- Humedal Itzata-Aves",636,4,"Colombia","","Animals, Birds","Alejandro Pérez,  César Villamil,  Alejandro Montañez","",2014,"English","Birds","Colombia"
"494","Boyacá -- Birds, Common Diurnal",627,8,"Colombia","","Animals, Birds","Oscar Perdomo-Báez, Pilar Salazar-B, Leonardo Fernández-L","",2014,"English","Birds","Colombia"
"495","Cundinamarca -- Humedal Tybabuyes-Birds",623,5,"Colombia","","Animals, Birds","Alejandro Pérez,  César villamil,  Alejandro Montañez","December, 2014",2014,"English","Birds","Colombia"
"496","Guaviare - Birds of San José del Guaviare",550,14,"Colombia","","Animals, Birds","Alejandro Pinto-Gómez,  Juan Pablo López-Ordóñez, Oscar Humberto Marin-Gómez","November, 2014",2014,"English","Birds","Colombia"
"497","Huila -- San Agustín, Reserva ASOAPA - Birds",492,5,"Colombia","","Animals, Birds","Hugo Bernal Hernández,  Ricardo Venegas Bustos,  Pablo Casallas Calle","October, 2013",2013,"English","Birds","Colombia"
"498","Santander -- Pamplona Birds",481,6,"Colombia","","Animals, Birds","Arley Omar Gallardo,  Jonathan Sequeda Zuleta,  Lesly Rocío Peña","August, 2013",2013,"English","Birds","Colombia"
"499","Tolima -- Bosque Seco - Aves",467,16,"Colombia","","Animals, Birds","William Enrique Figueroa,  Ronald Parra-Hernández,  Carlos Martínez-Chamorro & Adriana Torres","July, 2013",2013,"English","Birds","Colombia"
"500","Cundinamarca -- Guavio - Birds",357,14,"Colombia","","Animals, Birds","Ronald Mauricio Parra-Hernandez,  Albita Roa,  William Enrique Figueroa,  Danilo Mota,  Adhin Muñoz,  Lizardo Castillo","July, 2012",2012,"English","Birds","Colombia"
"501","Tolima -- Ibagué Aves de Clarita Botero",311,10,"Colombia","","Animals, Birds","Ronald Mauricio Parra-Hernandez","",2011,"English","Birds","Colombia"
"502","Caquetá - Bats of Bajo Caguán-Caquetá Region",1065,3,"Colombia","Caquetá Department ","Animals, Mammals","Alejandra Niño-Reyes, Diego Lizcano, Juan Pablo Parra, Sandro Justo Garay","October, 2018",2018,"English","Mammals","Colombia"
"503","Caquetá - Mammals of Bajo Caguán-Caquetá Region",1050,4,"Colombia","Caquetá","Animals, Mammals","William Bonell , Diego J. Lizcano , Juan Pablo Parra , Alejandra Niño-Reyes , Jorge Contreras , Flor Ángela Peña Alzate","October, 2018",2018,"English","Mammals","Colombia"
"504","Guaviare - Bats of San José del Guaviare",1006,5,"Colombia","Guaviare","Animals, Mammals","Rafael Agudelo Liz, Valentina Giraldo Gutiérrez, Víctor Julio Setina Liz","May, 2018",2018,"English","Mammals","Colombia"
"505","Guaviare - Flora, Fauna and Tourist Attractions in Guaviare",944,18,"Colombia","Guaviare","Animals, Birds, Mammals, Reptiles, Plants","Álvaro del Campo","January, 2018",2018,"English","Mammals","Colombia"
"506","Colombia - Humpback Whale Fins, Antarctic Expedition",934,4,"Colombia","","Animals, Mammals","Adrián Vásquez Ávila , Fernando Trujillo","September, 2017",2017,"English","Mammals","Colombia"
"507","Guaviare - Mammals around the Serrania de la Lindosa",880,3,"Colombia","Guaviare","Animals, Mammals","Olga L. Montenegro, Héctor Restrepo, Jorge L. Contreras, Wilmer Ramírez, Juan Pablo López","May, 2017",2017,"English","Mammals","Colombia"
"508","Meta - Bats of the Guayupes Forest",771,3,"Colombia","","Animals, Mammals","Diego Esquivel-Melo, Diana Camelo-Pinzon, Abelardo Rodriguez","June, 2016",2016,"English","Mammals","Colombia"
"509","Córdoba -- Common Mammals",445,2,"Colombia","","Animals, Mammals","Julio Chacón Pacheco, Erika Humanez-López","",2012,"English","Mammals","Colombia"
"510","Bolívar - Arachnids of Cartagena Botanical Garden ",1096,3,"Colombia","Bolívar","Animals, Insects","Daniela Ahumada-C. , Alejandro Segovia-Paccini, Wilder Zapata, Laura Pérez, Hermen F. González-Meza","February, 2019",2019,"English","Insects","Colombia"
"511","Bolívar - Coleoptera of Cartagena Botanical Garden",1094,2,"Colombia","Bolívar","Animals, Insects","Candelaria Ortega-Echeverria, Saray Paternina-Ricardo, Jorge Ari Noriega","February, 2019",2019,"English","Insects","Colombia"
"512","Bolívar - Lepidoptera of the Botanical Garden of Cartagena",1093,2,"Colombia","Bolívar","Animals, Insects","Ada L. Sandoval-B,  Gloribeth Ríos, Alejandro Segovia","February, 2019",2019,"English","Insects","Colombia"
"513","Cundinamarca - Life cycle and metamorphosis of Leptophobia aripa",1068,2,"Colombia","Cundinamarca","Animals, Insects","Erika Nathaly Bernal Morales","October, 2018",2018,"English","Insects","Colombia"
"514","Cundinamarca -  Life Cycle and Metamorphosis of Danaus plexippus",1067,3,"Colombia","Cundinamarca","Animals, Insects","Erika Nathaly Bernal Morales","October, 2018",2018,"English","Insects","Colombia"
"515","Chocó - Geometer moths of Utría  National Natural Park",1063,4,"Colombia","Chocó","Animals, Insects","Liliana Prada Lara ","October, 2018",2018,"English","Insects","Colombia"
"516","Northeastern Andes - Butterflies",931,5,"Colombia","","Animals, Insects","Olarte-Quiñonez, C., Acevedo-Rincón, A. , Ríos-Málave, I. C., Carrero-Sarmiento, D.","August, 2017",2017,"English","Insects","Colombia"
"517","Cundinamarca - Butterflies and Diurnal Moths of the Urban Parks Virrey and Chicó and some of their host plants ",930,8,"Colombia","Cundinamarca","Animals, Insects","Juan Carlos Caicedo-Hernández, David Ricardo Rodríguez-Villamil, Efraín Reinel Henao-Banol , Mateo Hernández-Schmidt","October, 2017",2017,"English","Insects","Colombia"
"518","Cundinamarca - Daytime Butterflies (Papilionoidea) of Guasca",911,7,"Colombia","Cundinamarca","Animals, Insects","Fredy Montero Abril , Maira Ortiz Perez","May, 2017",2017,"English","Insects","Colombia"
"519","Cundinamarca - Pronophilina Butterflies from Frailejonal ",870,1,"Colombia","Cundinamarca","Animals, Insects","Vanessa Diaz-S, Oscar Mahecha-J., Tomasz Pyrcz","March, 2017",2017,"English","Insects","Colombia"
"520","Sucre & Atlántico - Lepidopteran from Sucre and Atlántico",813,7,"Colombia","Sucre and Atlántico","Animals, Insects","John Ortega Galván, Juan D. Guzman, M. Cristina Martínez-Habibe","March, 2017",2017,"English","Insects","Colombia"
"521","Cundinamarca - Butterflies of La Minga",783,10,"Colombia","","Animals, Insects","Fredy Montero Abril , Maira Ortiz Pérez","May, 2016",2016,"English","Insects","Colombia"
"522","Cundinamarca - Inmature Stages of Butterfly Species ",782,4,"Colombia","","Animals, Insects","Fredy Montero Abril , Maira Ortiz Pérez","May, 2016",2016,"English","Insects","Colombia"
"523","Cundinamarca -- Páramo del Tablazo Butterflies",687,6,"Colombia","","Animals, Insects","Fredy Montero Abril, Maira Ortiz Perez","July, 2015",2015,"English","Insects","Colombia"
"524","Cundinamarca -- Common Odonata from Córdoba, Salitre and La Florida Wetlands ",608,1,"Colombia","","Animals, Insects","Ángela Montoya-Q. , León Perez, Alejandro Pérez H., Oscar Mahecha-J.","February, 2014",2014,"English","Insects","Colombia"
"525","Amazonas -- Orthopterans of Tanimboca and Palmarí Reserves",451,5,"Colombia","","Animals, Insects","Rodríguez López, Camilo, Diana M. Pinto O., Álvaro E. Rodríguez T.","August, 2012",2012,"English","Insects","Colombia"
"526","Amazonia -- Butterflies: Nymphalidae. Satyrinae",250,10,"Colombia","","Animals, Insects","Jaime Pinzón-C.","",2009,"English","Insects","Colombia"
"527","Amazonia -- Butterflies: Hesperiidae",249,10,"Colombia","","Animals, Insects","Jaime Pinzón-C.","",2011,"English","Insects","Colombia"
"528","Amazonia -- Butterflies: Lycaenidae",225,4,"Colombia","","Animals, Insects","Jaime Pinzón-C.","",2009,"English","Insects","Colombia"
"529","Amazonia -- Butterflies: Riodinidae",224,20,"Colombia","","Animals, Insects","Jaime Pinzón-C.","",2009,"English","Insects","Colombia"
"530","Amazonia -- Butterflies: Nymphalidae.: Heliconinae Ithomiinae",223,10,"Colombia","","Animals, Insects","Jaime Pinzón-C.","",2009,"English","Insects","Colombia"
"531","Amazonia -- Butterflies: Nymphalidae.: Nymphalinae, Apaturinae, Danainae",208,4,"Colombia","","Animals, Insects","Jaime Pinzón-C.","",2009,"English","Insects","Colombia"
"532","Amazonia -- Butterflies: Nymphalidae.: Limenitidinae and Charaxinae",207,4,"Colombia","","Animals, Insects","Jaime Pinzón-C.","",2009,"English","Insects","Colombia"
"533","Amazonia -- Butterflies: Nymphalidae.: Biblidinae",206,8,"Colombia","","Animals, Insects","Jaime Pinzón-C.","",2009,"English","Insects","Colombia"
"534","Amazonia -- Butterflies: Pieridae",202,4,"Colombia","","Animals, Insects","Jaime Pinzón-C.","",2009,"English","Insects","Colombia"
"535","Amazonia -- Butterflies: Nymphalidae.: Brassolinae Morphinae",201,5,"Colombia","","Animals, Insects","Jaime Pinzón-C.","",2009,"English","Insects","Colombia"
"536","Amazonia -- Butterflies: Papilionidae",190,6,"Colombia","","Animals, Insects","Jaime Pinzón-C.","",2006,"English","Insects","Colombia"
"537","Putumayo - Fishes of Resguardo Indígena Yunguillo",1103,3,"Colombia","Mocoa, Putumayo","Animals, Fishes","Camila Chindoy, Carmenza Ruth Chindoy, Eliseo Chindoy, Menandro Garreta Chindoy, Tomás Chindoy, Jorge Enrique García-Melo, Javier A. Maldonado Ocampo, Mariana A. Moscoso Rodríguez, María Mariela Muchavisoy, Orlando Muchavisoy, María Elvira Mutumbajoy Muchavisoy, Pedro Pablo Mutumbajoy, Telesporo Mutumbajoy, Besnayda Robledo, Alexander Urbano-Bonilla","January, 2019",2019,"English","Fishes","Colombia"
"538","Caquetá -  Fishes from the lower Caguán River in its confluence area with the Caquetá River",1056,8,"Colombia","Caquetá","Animals, Fishes","Jorge Enrique García Melo, Lesley de Souza, Javier A. Maldonado-Ocampo","October, 2018",2018,"English","Fishes","Colombia"
"539","Casanare - Fishes of Guachiría y La Hermosa River Basins ",908,12,"Colombia","Casanare","Animals, Fishes","Alejandro MéndezLópez, Alexander UrbanoBonilla","May, 2017",2017,"English","Fishes","Colombia"
"540","Guaviare - Fishes of the Inírida and Guaviare Rivers",842,7,"Colombia","","Animals, Fishes","Alexander Urbano-Bonilla, Lesley de Souza, Javier A. Maldonado-Ocampo, Jhon E. Zamudio","February, 2017",2017,"English","Fishes","Colombia"
"541","Guainía -- Fishes from Santa Rosa de Sapuara Lagoon",649,3,"Colombia","","Animals, Fishes","Carlos Velandia-Barragán, Lina Vásquez, Engelbert Chávez","December, 2014",2014,"English","Fishes","Colombia"
"542","Bolívar - Amphibians and Reptiles of the Cartagena Botanical Garden ""Guillermo Piñeres""",1087,3,"Colombia","Bolívar","Animals, Amphibians, Reptiles","Keiner Meza-Tilvez, Adolfo Mulet-Paso, Ronald Zambrano-Cantillo","December, 2018",2018,"English","Herp","Colombia"
"543","San Martín del Meta - Amphibians and Reptiles of the Natural Reserve El Caduceo",1062,4,"Colombia","San Martín del Meta","Animals, Amphibians, Reptiles","Caicedo Moncada Javier-F., Cortés Parra Camilo-A., Cárdenas Montoya Guillermo-A., Jiménez Valdés José-F., Daniel Ramos-Torres, Ramírez Sandoval Paula-M. , Pachón Herrera Giovanny-A. , Chiquiza Moreno Daniela, Esteban Puentes Lizeth-E. , López Preciado Andres-R. , Díaz Valeria , Oscar Mahecha -J. ","October, 2018",2018,"English","Herp","Colombia"
"544","Icononzo-Tolima - Myriapods of Vereda Cafrería",1060,6,"Colombia","Icononzo-Tolima","Animals, Other invertebrates","Camilo Castillo Avila, Camilo Prado Sepúlveda, Alexander García García","October, 2018",2018,"English","Other","Colombia"
"545","Caquetá - Amphibians and Reptiles of Caguán-Caquetá",1059,9,"Colombia","Caquetá","Animals, Amphibians, Reptiles","Guido F. Medina-Rangel, Diego H. Ruiz-Valderrama, Michelle E. Thompson","July, 2018",2018,"English","Herp","Colombia"
"546","Sucre - Amphibians and Reptiles of Colosó-Chalán",1030,7,"Colombia","Sucre","Animals, Amphibians, Reptiles","Sergio Alejandro Peláez, Alejandra Perlaza Berrio","October, 2018",2018,"English","Herp","Colombia"
"547","Tolima - Snakes of North of Tolima",997,4,"Colombia","Tolima","Animals, Reptiles","Ronald Mauricio Parra-Hernández, Duvan Zambrano, William Enrique Figueroa","May, 2018",2018,"English","Herp","Colombia"
"548","Caldas - Amphibians and Reptiles La Miel-Tasajos II Sanctuary",948,3,"Colombia","Caldas","Animals, Amphibians, Reptiles","Andrés Restrepo-Bermúdez","October, 2017",2017,"English","Herp","Colombia"
"549","Guaviare - Flora, Fauna and Tourist Attractions in Guaviare",944,18,"Colombia","Guaviare","Animals, Birds, Mammals, Reptiles, Plants","Álvaro del Campo","January, 2018",2018,"English","Herp","Colombia"
"550","Meta - Amphibians and Reptiles of Tillavá",909,5,"Colombia","Meta","Animals, Amphibians, Reptiles","Daniel Ramos-Torres, Luis Felipe Esqueda, Abelardo Rodríguez-Bolaños","September, 2017",2017,"English","Herp","Colombia"
"551","Caquetá - Amphibians and Reptiles of Las Dalias Natural and Ecoturism Reserve",907,3,"Colombia","Caquetá","Animals, Amphibians, Reptiles","Fabián Andrés Cabrera-Vargas, Maykoll Jhohanzon Parra Olarte , Diego Huseth Ruiz-Valderrama","June, 2017",2017,"English","Herp","Colombia"
"552","Guaviare - Amphibians and Reptiles of the Serranías Guaviare",866,9,"Colombia","Guaviare","Animals, Amphibians, Reptiles","Jonh Jairo Mueses-Cisneros, José Rancés Caicedo-Portilla","March, 2017",2017,"English","Herp","Colombia"
"553","Tolima - Snakes of Cafrería",756,4,"Colombia","","Animals, Reptiles","Diego A. Gómez-Sánchez, Julian Y. Arias Pineda","June, 2016",2016,"English","Herp","Colombia"
"554","Huila - Herpetological Fauna of Alto Magdalena",753,9,"Colombia","Huila","Animals, Amphibians, Reptiles","Luis Enrique Vera-Pérez, Juan Salvador Mendoza Roldán, Gerson Peñuela Díaz","April, 2016",2016,"English","Herp","Colombia"
"555","Amazonas -- Amphibians and Reptiles of Amacayacu National Park ",704,2,"Colombia","","Animals, Amphibians, Reptiles","James T. Stroud","November, 2015",2015,"English","Herp","Colombia"
"556","Santa Marta - Amphibians of Santa Marta and its surroudings",678,4,"Colombia","Santa Marta","Animals, Amphibians","José Luis Pérez-González, Jefferson Villalba-Fuentes, Luis Alberto Rueda-Solano","August, 2018",2015,"English","Herp","Colombia"
"557","Santa Marta - Reptiles of Santa Marta and its surroundings",676,6,"Colombia","Santa Marta","Animals, Reptiles","José Luis Pérez-González , Jefferson Villalba-Fuentes, Luis Alberto Rueda-Solano","May, 2015",2018,"English","Herp","Colombia"
"558","Providencia & Santa Catalina -- Reptiles and Amphibians of San Andres",647,5,"Colombia","","Animals, Amphibians, Reptiles","Diego A. Gómez, José Rances Caicedo, Juan Salvador Mendoza","November, 2014",2014,"English","Herp","Colombia"
"559","Tolima -- Amphibians & Reptiles of Vega de los Padres",646,2,"Colombia","","Animals, Amphibians, Reptiles","Daniel Ramos T.,  Angie Tovar O.,  Oscar Mahecha J.","September, 2014",2014,"English","Herp","Colombia"
"560","Providencia and Santa Catalina island -- Carcinofauna",626,6,"Colombia","","Animals, Crustaceans","Julian Yessid Arias Pineda,  Emilio Realpe Rebolledo","",2014,"English","Other","Colombia"
"561","Cundinamarca -- Chilopoda",618,2,"Colombia","","Animals, Other invertebrates","Cesar Camilo Prado Sepulveda,  Alexander García García","",2014,"English","Other","Colombia"
"562","Tolima -- Mountain Crabs from Icononzo ",607,2,"Colombia","","Animals, Crustaceans","Julian Yessid Arias Pineda, Alexander García García, Martha Helena Rocha Campos","February, 2014",2014,"English","Other","Colombia"
"563","Meta -- Amphibians and Reptiles",576,15,"Colombia","","Animals, Amphibians, Reptiles","Ana Milena Ramírez-Villalba, Diego A. Gómez, Álvaro Andrés Velásquez, Juan Salvador Mendoza","May, 2015",2015,"English","Herp","Colombia"
"564","Tolima -- Parque Nacional del Agua Anfibios y Reptiles",462,2,"Colombia","","Animals, Reptiles, Amphibians","Andrea Castro Gómez","January, 2013",2013,"English","Herp","Colombia"
"565","Macondo -- Reserva Palmarí - Amphibians and Reptiles",447,11,"Colombia","","Animals, Amphibians, Reptiles","Camilo Rodríguez López, Diana M. Pinto O., Álvaro E. Rodríguez T.","February, 2012",2012,"English","Herp","Colombia"
"566","Amazonas -- Tanimboca Reptiles",427,7,"Colombia","","Animals, Reptiles","Camilo Rodríguez López, Diana M. Pinto O., Álvaro E. Rodríguez T.","",2010,"English","Herp","Colombia"
"567","Atlántico -- Reptiles and Amphibians",353,13,"Colombia","Atlántico","Animals, Amphibians, Reptiles","Juan Salvador Mendoza, Diego A. Gómez Sánchez","",2012,"English","Herp","Colombia"
"568","Tolima -- Norte - Amphibians",318,4,"Colombia","","Animals, Amphibians","Victor Fabio Luna-Mora","",2011,"English","Herp","Colombia"
"569","Casanare -- Cladiaceae & Cladoniaceae of Chámeza",639,1,"Colombia","","Fungi and Lichens, Lichens","Lady Johanna Herrera Vargas,  Harrie J.M. Sipman","July, 2014",2014,"English","Fungi","Colombia"
"570","Lichens of the Popayán Botanical Garden",614,2,"Colombia","","Fungi and Lichens, Lichens","Edier Soto Medina, Luis Gerardo Chilito, Adriana Marcela Peña","",2014,"English","Fungi","Colombia"
"571","Boyacá - Bryophytes and lichens of Tipacoque",611,2,"Colombia","","Plants, Other (Plants), Fungi and Lichens, Lichens","Diego Simijaca (Líquenes), Lucia Vargas (Hepáticas) ","February, 2014",2014,"English","Fungi","Colombia"
"572","Cundinamarca --  Macrofungi of ""La Reserva"" Biopark ",595,3,"Colombia","","Fungi and Lichens, Mushrooms","Gineth Adriana Calderón Padilla, Bibiana Moncada , Robert Lücking","June, 2015",2015,"English","Fungi","Colombia"
"573","Casanare -- Lichens: Cora and Dictyonema",588,1,"Colombia","","Fungi and Lichens, Lichens","Leidy Y. Vargas Mendoza, Robert Lücking, Bibiana Moncada","March, 2015",2015,"English","Fungi","Colombia"
"574","Líquenes Epiphytes of Quercus humboldtii",566,4,"Colombia","","Fungi and Lichens, Lichens","Diego Simijaca,  Bibiana Moncada,  Robert Lücking","March, 2014",2014,"English","Fungi","Colombia"
"575","Cauca -- Lichens of  Páramo Las Delicias ",557,2,"Colombia","","Fungi and Lichens, Lichens","Jhon Jairo Salas, Rouchi Peláez P., Keity Farfán, David Huertas, Linney Arias, Bibiana Moncada","January, 2014",2014,"English","Fungi","Colombia"
"576","Cundinamarca -- Lichens of the Fucha and Arzobispo rivers",556,2,"Colombia","","Fungi and Lichens, Lichens","Jean M. Torres, Alejandro Perez, Bibiana Moncada, Robert Lücking","January, 2014",2014,"English","Fungi","Colombia"
"577","Meta -- Lichens of San Martín ",551,4,"Colombia","","Fungi and Lichens, Lichens","Rouchi Peláez P., Bibiana Moncada,  Robert Lücking","October, 2013",2013,"English","Fungi","Colombia"
"578","Los Llanos - Corticolous Lichens",498,1,"Colombia","","Fungi and Lichens, Lichens","Juan Sebastián Silano Uribe","February, 2014",2013,"English","Fungi","Colombia"
"579","Cundinamarca -- Madrid cemetery - Lichens",460,2,"Colombia","","Fungi and Lichens, Lichens","Gabriel Felipe Peñaloza,  Sebastián Silano Uribe,  Alejandro Pérez,  Bibiana Moncada","November, 2012",2012,"English","Fungi","Colombia"
"580","Lichens of Cali - Valle del Cauca",438,1,"Colombia","","Lichens, Fungi and Lichens","Edier Soto Medina, Ana Cristina Bolaños","",2011,"English","Fungi","Colombia"
"581","Cauca -- Gorgona Island - Lichens",437,1,"Colombia","","Lichens, Fungi and Lichens","Edier Soto Medina","",2011,"English","Fungi","Colombia"
"582","Valle del Cauca -- Tropical Dry Forest Macrofungi",436,1,"Colombia","","Fungi and Lichens, Mushrooms","A. García, Ana Cristina Bolaños","",2011,"English","Fungi","Colombia"
"583","Valle del Cauca -- San Cipriano Mushrooms (Macrofungi)",435,1,"Colombia","","Mushrooms, Fungi and Lichens","Ana Cristina Bolaños, Liliana Cadavid Flórez","",2010,"English","Fungi","Colombia"
"584","Lichens of the Colombian Páramo ",344,NA,"Colombia","","Fungi and Lichens, Lichens","Bibiana Moncada, Robert Lücking","",2011,"English","Fungi","Colombia"
"585","Cusco - Plants of Torontoy and Qoriwayrachina",1091,13,"Peru","Cusco","Plants","Yulina Pelaez-Tapia, Isau Huamantupa-Chuquimaco","November, 2018",2018,"English","Plants","Peru"
"586","Common Fruits and Seeds of Annonaceae of Peru",1083,25,"Peru","","Plants, Fruits, Seeds","Edward Jimmy Alarcón Mozombite","December, 2018",2018,"English","Plants","Peru"
"587","Cusco - Orchids of Manu Biosphere Reserve",1075,4,"Peru","Cusco","Plants","Efrain Suclli Montañez, Carmen Soto Vargas, Francisco Llacma Pfocco","October, 2018",2018,"English","Plants","Peru"
"588","Cusco - Flora of Valle del Cusco",1049,9,"Peru","Cusco","Plants","Lucely Lucero Vilca Bustamante","February, 2019",2019,"English","Plants","Peru"
"589","Huarochirí - Common Plants of Carampoma Wetlands",1041,3,"Peru","Huarochirí","Plants","Mónica Sofía Maldonado Fonkén , Juan José Alegría Olivera , Nataly Valencia, Angie Montenegro","June, 2018",2018,"English","Plants","Peru"
"590","Ayacucho - Common Plants of Pastizales Andinos",1031,10,"Peru","Ayacucho","Plants","Fiorella Eduardo, Héctor Chuquillanqui, Wilson Velásquez, Elib Chuchon, Pablo Najarro, Reynaldo Linares-Palomino","September, 2018",2018,"English","Plants","Peru"
"591","Cusco - Palynological Flora of Valle Sagrado de los Incas (vol. II)",1025,13,"Peru","Cusco","Plants","Raúl Yuca-Rivas ","July, 2018",2018,"English","Plants","Peru"
"592","Cusco - Palynological Flora of Valle Sagrado de los Incas (vol. I.)",1023,12,"Peru","Cusco","Plants","Raúl Yuca-Rivas ","June, 2018",2018,"English","Plants","Peru"
"593","Amazonas - Plants in the diet of the Spectacled Bear (Tremarctos ornatus) ",994,6,"Peru","Amazonas","Plants","Alexandra Mireya Chávez, Camilo Díaz, Jessica María Amanzo","March, 2018",2018,"English","Plants","Peru"
"594","Huanúco - Orchidaceae of  Tingo María National Park",966,12,"Peru","Huánuco","Plants","Luis Ocupa Horna, Alex Diaz Hernández, Enrique Yupanqui Godo, Emiliano Carrillo Mena","December, 2017",2017,"English","Plants","Peru"
"595","Cajamarca - Medicinal Plants of Comercio Ambulatorio de Cajamarca",928,3,"Peru","","Plants, Useful plants","Lucio Cesar Gil Perleche, Rosario Alva Martos , Carmen Chuquilin Celis","September, 2017",2017,"English","Plants","Peru"
"596","Madre de Dios - Plants of Gallocunca Conservation Forest",876,22,"Peru","Madre de Dios","Plants","Sufer Baez Quispe  , Jorge Garate Quispe, Hugo Dueñas Linares, Rolando Sota Pulido","April, 2017",2017,"English","Plants","Peru"
"597","Pantropical - Tree Ferns of Andean Peru, Bolivia and Argentina",867,19,"Argentina, Bolivia, Peru","","Plants","Adrian Tejedor, Gloria Calatayud","March, 2017",2017,"English","Plants","Peru"
"598","Loreto - Common Plants of the Putumayo-Algodón",862,14,"Peru","Loreto","Plants","Luis A. Torres-Montenegro, Marcos A. Ríos-Paredes, Andrés A. Barona-Colmenares, Corine Vriesendorp, Nigel Pitman","February, 2017",2017,"English","Plants","Peru"
"599","Ucayali - Useful Palms",820,4,"Peru","","Plants, Useful plants","Ludvík Bortl","November, 2016",2016,"English","Plants","Peru"
"600","Peru - Common Plants of Iquitos",792,11,"Peru","","Plants","Edward Jimmy Alarcón, Roger Soplín Rios, Ian Paul Medina, Víctor Contreras","August, 2016",2016,"English","Plants","Peru"
"601","Cusco - Common Plants of the  Lower Urubamba River",791,24,"Peru","","Plants","Edward Jimmy Alarcón Mozombite, Roger Soplín Rios, Eder A. Chilquillo Torres, Carlos Gabriel Hidalgo Pizango","July, 2016",2016,"English","Plants","Peru"
"602","Madre de Dios - Conspicuous Plants of the Amarakaeri Reserve",779,3,"Peru","","Plants","Isau Huamantupa, Gloria Calatayud, Elias Paz, Adrian Tejedor, Jessica L. Deichmann","July, 2016",2016,"English","Plants","Peru"
"603","Cajamarca -- Cacti of a seasonally dry tropical forest",761,2,"Peru","","Plants","Manuel Roberto Roncal-Rabanal","July, 2016",2016,"English","Plants","Peru"
"604","Madre de Dios - Foods eaten by the Woolly Monkey (Lagothrix cana)",759,7,"Peru","","Plants, Fruits, Seeds, Trees","Ruthmery Pillco Huarcaya, Andrew Whitworth, Jaime Villacampa, Victor Chama Moscoso , Percy Nuñez Vargas","April, 2016",2016,"English","Plants","Peru"
"605","Ancash - Plants of the Cordillera Blanca",750,6,"Peru","","Plants","Juan José Alegría Olivera , Melody Rocio Zarria Samanamud","June, 2016",2016,"English","Plants","Peru"
"606","Andes Region - Tigridieae (Iridaceae)",746,5,"Argentina, Bolivia, Ecuador, Peru","","Plants","Hibert Huaylla Limachi","January, 2017",2017,"English","Plants","Peru"
"607","Ayacucho - Vascular Plants of Torobamba and Pampas Dry Forests",735,6,"Peru","","Plants","","September, 2016",2016,"English","Plants","Peru"
"608","Loreto - Trees and Shrubs of Yurimaguas ",731,3,"Peru","","Plants, Shrubs and treelets, Trees","Gilberto Navarro Aguilar, Roger Soplín Rios, Jimmy Alarcón, Marcos Rios","March, 2016",2016,"English","Plants","Peru"
"609","Loreto - Common Trees of the northern pipeline (Morona sector)",730,1,"Peru","","Plants, Trees","Gilberto Navarro Aguilar, Roger Soplín Rios","March, 2016",2016,"English","Plants","Peru"
"610","Loreto - Flowers and Fruits of Arboretum ""El Huayo""",729,10,"Peru","","Plants, Climbers, Epiphytes, Fruits, Terrestrial herbs","Edward Jimmy Alarcón, Manuel Flores Arévalo","March, 2016",2016,"English","Plants","Peru"
"611","Loreto -- Tapiche and Blanco Rivers Common Plants",705,10,"Peru","","Plants, Climbers, Epiphytes, Fruits, Shrubs and treelets, Trees, Useful plants","Luis A. Torres-Montenegro, Tony J. Mori-Vargas, Marcos A. Ríos-Paredes, Corine Vriesendorp, Nigel Pitman","October, 2015",2015,"English","Plants","Peru"
"612","Cusco, Madre de Dios & Puno -- Epidendrum (Orchidaceae) ",685,6,"Peru","","Plants, Epiphytes, Terrestrial herbs","Isau Huamantupa, Eric Hágsater , Isaac Huamantupa","August, 2015",2015,"English","Plants","Peru"
"613","Loreto -- Fruits eaten by Saimiri sciureus",635,2,"Peru","","Plants, Fruits","Carlos Villacorta Gonzales,  Jesús Daza,  Emérita Tirado","July, 2014",2014,"English","Plants","Peru"
